Lee,Jeans Hombre Hombre,$36.990,40030251,Jeans,5 bolsillos,regular,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M",
Lois,Jeans 5 Bolsillos Slim,$24.990,Jdsl Vcrnew,Jeans,5 bolsillos,slim,"85% algodón, 14% poliéster, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Mossimo,Jeans 5 Bolsillos Skinny,$24.990,Jdsk Barcelona,Jeans,5 bolsillos,skinny,"70% algodón, 24% poliéster, 4% acetato, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Americanino,Jeans 5 Bolsillos Skinny,$29.990,Jdsk Quetru Sd,Jeans,5 bolsillos,skinny,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Mossimo,Jeans Skinny,$19.990,Jdsk Color W17,Jeans,5 bolsillos,skinny,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M",
Americanino,Jeans 5 Bolsillos Tapered,$31.990,Jdtp Run Sd,Jeans,5 bolsillos,tapered,"93% algodón, 6% poliéster, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Americanino,Jeans Básico,$23.990,Jdss Buchu Is,Jeans,5 bolsillos,slim,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M",
Levis,Jeans Hombre 505 Regular Fit,$44.990,00505-0216,jeans,5 bolsillos,regular,100% algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Lee,Jeans Hombre Básico Regular Fit,$36.990,40030250,jeans,5 bolsillos,regular,100% algodón,,
Wrangler,Jeans 5 Bolsillos Jogger,$35.990,56450206MS,Jeans,5 bolsillos,jogger,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Second Image,Pantalón Super Skinny,$16.990,Jdss Basblack,Jeans,5 bolsillos,super,"74% algodón, 24% poliéster, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Americanino,Jeans 5 Bolsillos,$23.990,Jdsk Mave500Ext,Jeans,5 bolsillos,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44",
Lee,Jeans Hombre Básico Regular Fit,$34.990,34030261,jeans,5 bolsillos,regular,100% algodón,,
Americanino,Jeans Slim,$20.990,Jdsl Destroy2,Jeans,5 bolsillos,slim,"97% algodón, 2% poliéster, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Levis,Jeans Hombre 505 Regular Fit,$44.990,505-4923,jeans,5 bolsillos,regular,100% algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Americanino,Jeans 5 Bolsillos Super Skinny,$29.990,Jdss Piden Sd,Jeans,5 bolsillos,super skinny,"95% algodón, 3% poliéster, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Americanino,Jeans 5 Bolsillos Skinny,$29.990,Jdsk Tortola Sa,Jeans,5 bolsillos,skinny,"99% algodón, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Wrangler,Jeans Básico Regular Fit,$34.990,451112911Sgy001,Jeans,5 bolsillos,regular,100% algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Wrangler,Jeans Básico Regular Fit,$36.990,10231i,Jeans,5 bolsillos,regular,100% algodón,,
Levis,Levis 511 Slim Skinny Fit,$44.990,04511-0241,jeans,5 bolsillos,skinny,98% algodón 2% elastano,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44",
Mossimo,Jeans 5 Bolsillos,$34.990,Jdsk Mos13Mid,Jeans,5 bolsillos,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44",
Second Image,Jeans Super Skinny,$16.990,Jdss Basraw,Jeans,5 bolsillos,super,"74% algodón, 24% poliéster, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Lee,Jeans Hombre Básico Regular Fit,$36.990,40030251-41,jeans,5 bolsillos,regular,100% algodón,,
Americanino,Jeans Básicos Skinny,$29.990,JDSS LIGHT2,Jeans,5 bolsillos,skinny,,,
Wrangler,Jeans Jogger,$35.990,56450206Blk,Jeans,5 bolsillos,jogger,100% algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Wrangler,Jeans 5 Bolsillos Jogger,$35.990,56450206LTL,Jeans,5 bolsillos,jogger,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
